1678731000000,1000,BUY,6444000,2235
1678731000001,1001,BUY,6515000,508
1678731000002,1002,BUY,6513000,723
1678731000003,1003,SELL,6550000,3258
1678731000004,1004,BUY,6470000,4962
1678731000005,1005,BUY,6473000,3091
1678731000006,1006,BUY,6369000,125
1678731000007,1007,BUY,6547000,2629
1678731000008,1008,SELL,6478000,4870
1678731000009,1009,BUY,6462000,1171
1678731000010,1010,BUY,6468000,1918
1678731000011,1011,SELL,6529000,4917
1678731000012,1012,SELL,6506000,3405
1678731000013,1013,BUY,6474000,2258
1678731000014,1014,BUY,6469000,89
1678731000015,1015,BUY,6547000,1162
1678731000016,1016,SELL,6448000,3054
1678731000017,1017,BUY,6491000,4168
1678731000018,1018,BUY,6488000,919
1678731000019,1019,SELL,6519000,3780
1678731000020,1020,BUY,6638000,2843
1678731000021,1021,BUY,6559000,166
1678731000022,1022,SELL,6510000,3639
1678731000023,1023,SELL,6544000,1639
1678731000024,1024,BUY,6449000,3739
1678731000025,1025,BUY,6420000,2703
1678731000026,1026,SELL,6432000,3039
1678731000027,1027,SELL,6455000,1387
1678731000028,1028,BUY,6529000,3560
1678731000029,1029,SELL,6544000,3953
1678731000030,1030,SELL,6489000,3259
1678731000031,1031,BUY,6468000,4576
1678731000032,1032,SELL,6424000,486
1678731000033,1033,BUY,6554000,1860
1678731000034,1034,BUY,6558000,2961
1678731000035,1035,SELL,6455000,1381
1678731000036,1036,SELL,6448000,4859
1678731000037,1037,SELL,6496000,4246
1678731000038,1038,SELL,6574000,1288
1678731000039,1039,BUY,6516000,211
1678731000040,1040,SELL,6480000,2202
1678731000041,1041,BUY,6496000,1016
1678731000042,1042,BUY,6429000,2821
1678731000043,1043,SELL,6552000,3481
1678731000044,1044,SELL,6473000,2704
1678731000045,1045,SELL,6425000,1023
1678731000046,1046,BUY,6489000,3477
1678731000047,1047,BUY,6478000,4404
1678731000048,1048,SELL,6525000,536
1678731000049,1049,SELL,6557000,2288
1678731000050,1050,SELL,6568000,619
1678731000051,1051,SELL,6508000,1788
1678731000052,1052,BUY,6487000,3242
1678731000053,1053,BUY,6481000,12
1678731000054,1054,SELL,6367000,2429
1678731000055,1055,BUY,6517000,3465
1678731000056,1056,BUY,6522000,849
1678731000057,1057,BUY,6491000,1101
1678731000058,1058,SELL,6452000,333
1678731000059,1059,SELL,6570000,1277
