timestamp,order_id,side,price,quantity
1678731000100,1001,BUY,6500000,500
1678731000101,1002,BUY,6495000,1500
1678731000102,1003,SELL,6510000,800
1678731000103,1004,SELL,6515000,2000
1678731000104,1005,BUY,6505000,300
1678731000105,1006,SELL,6508000,400
1678731000106,1007,SELL,6500000,1000
1678731000107,1008,BUY,6520000,5000
1678731000108,1009,BUY,6520000,100
1678731000109,1010,SELL,6400000,10000
1678731000110,1011,BUY,6450000,5000
1678731000111,1012,BUY,6450000,2000
1678731000112,1013,SELL,6450000,10000
